meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
come,"""come",来,51,2029,7,2,5,"come, not yet, animal horns",This odd but common kanji is built up of the character for not yet into which a pair of animal horns has been inserted.,"You horny bastard, don´t come, at least not yet!",ライ、タイ,く.る、きた.る、きた.す、き.たす、き.たる、き、こ,"来す (きた.す), 来る (きた.る), 来る (く.る)"""
spirit,"""spirit",気,51,2030,6,1,5,"spirit, landed fish, reclining, lying down, one, floor, fishhook, sheaf",The spirit in this character refers to the changeable moods and airs of one's personality as well as to the more essential combination of vital forces that distinguish things and individuals one from the other. Its elements are: reclining . . . floor . . . fishhook . . . sheaf. Do not confuse with spirits (Frame 1930).,You´re reclining on the floor trying to hook a sheaf with a small hook through the cracks. That you´ve been doing this for seven hours without success shows your burning spirit.,キ、ケ,いき,"気体 (きたい), 気候 (きこう), 元気 (げんき)"""
vapor,"""vapor",汽,51,2031,7,2,1,"vapor, water, water droplets, water pistol, landed fish, reclining, lying down, one, floor, fishhook",Think of this character as a sibling of that for spirit. Simply replace sheaves with drops of water on the left in order to get vapor.,Water vapor almost looks like a spirit but has no soul.,キ,,
fly,"""fly",飛,51,2032,9,4,3,"fly, hook, propeller, measuring box, thousand, needles, propeller2","The two large hooks have little propellers (the two drops on each hook) attached to them for flying. Beneath is the measuring box, which serves as the body of this flying contraption. The stroke order will cause some problems, so take care with it.",Hooks with small wings attached look like hummingbirds with a long beak. Two hummingbirds are trying to fly away with our little measuring box. What do they want it for?,ヒ,と.ぶ、と.ばす、-と.ばす,"飛ばす (と.ばす), 飛ぶ (と.ぶ)"""
sink,"""sink",沈,51,2033,7,,2,"sink, water, water droplets, water pistol, garter, crown, human legs","The technique for sinking used in this kanji is unique. Rather than the biblical image of tying a millstone about the victim's neck, here we see a crown tied about one leg before the unfortunate party is tossed into the water.",(thx geezer) The maimed waitress (no head and arms just her legs and trunk) is dropped into the water with a cement crown to make sure she sinks. She shouldn´t have been so nosy about her yakuza-boyfriend´s schemes.,チン、ジン,しず.む、しず.める,"沈む (しず.む), 沈める (しず.める)"""
wife,"""wife",妻,51,2035,8,5,3,"wife, ten, needle, rake, woman",Ten . . . rakes . . . woman.,Ten rakes woman. your wife digs her fingernails into you and it feels like 10 rakes when she finds you ontop of another woman.,サイ,つま,"妻 (つま)"""
decline,"""decline",衰,51,2037,10,,1,"decline, pathetic, stick, top hat, scarf, mouth","Let this key word connote the decline and fall of the Roman Empire. It shows a fellow in a top hat and scarf, trying hard to look happy by putting a walking stick in his mouth sideways to twist his face into a grotesque but semi permanent smile.","If you thought that the dude in 哀 was pathetic, you haven´t seen him after his decline. Here he is carrying a stick around in his mouth like a dog, begging people to throw it for him. Note that the mouth is closed only after the stick goes in, as is only logical.",スイ,おとろ.える,"衰える (おとろ.える)"""
inmost,"""inmost",衷,51,2038,9,,1,"inmost, ten, needle, mouth, scarf",Between the top hat and the scarf you will see the character for in which is truncated at the bottom so as not to interfere with the scarf. You can think of this character forming as a pair with that of the former frame: there the in (the walking stick in the mouth) was set on its side; here it is set upright.,The guy from pathetic (#401) shared his inmost feelings with a girl and she rammed a walking stick down his throat. It ruptured his inmost organs.,チュウ,,
mask,"""mask",面,51,2039,9,3,3,"mask, hundred, one, ceiling, drop, pent in, eye","Imagine a mask over your head with eyes peeping out from all over the head, a hundred in all (the element for eye displacing the fifth stroke of that for hundred).","If you´re wearing a mask, a hundred eyes can look at you but none of them will know who you are.",メン、ベン,おも、おもて、つら,"面 (おも), 面 (おもて), 面 (つら)"""
leather,"""leather",革,51,2041,9,6,2,"leather, flowers, car, mouth, ten, needle","After the flowers at the top (painted on the leather for decoration), we see the element for car with the middle stroke left out. Think of the seats having been taken out so that they can be reupholstered with this decorated leather.","I asked the street vendor the price of the LEATHER jacket. He said TWENTY, but with my MOUTH, I talked him down to TEN. (correct stroke order).",カク,かわ,"革 (かわ)"""
shoes,"""shoes",靴,51,2042,13,,3,"shoes, leather, flowers, car, mouth, ten, needle, change, person, spoon, sitting on the ground",Leather . . . change.,Leather shoes are nice because they change shape to fit your foot.,カ,くつ,"靴 (くつ)"""
hegemony,"""hegemony",覇,51,2043,19,,1,"hegemony, old west, leather, flowers, car, mouth, ten, needle, moon, month, flesh, part of the body",Old West . . . leather . . . moon.,"In the old west, animal skins were made into leather and their flesh was eaten, thus using the whole animal, which viewed from the animal side could be taken as humans asserting complete hegemony over them. All your base are belong to us.",ハ、ハク,,
voice,"""voice",声,51,2044,7,2,3,"voice, samurai, flag, stick","The samurai at the top is familiar enough. The combination beneath, which looks like a flag with a line running through it, is not. Try to devise some way to take note of it, and pay attention to the writing.","Having lost his voice, the samurai comunicated to his troops with a striped flag.",セイ、ショウ,こえ、こわ-,"声楽 (せいがく), 声援 (せいえん), 名声 (めいせい), 声 (こえ)"""
give,"""give",呉,51,2046,7,,1,"give, mouth, chair, tool, animal legs","The complex of strokes in this kanji is unusual and difficult, because of the fourth stroke, which is rare (see frames 33 and 34). The mouth and tool are already familiar.","Picture of a person facing you. 口 is the head. His right arm is raised (your left), to give you something from a tray 一. His legs ハ are below the tray. 呉れる、くれる, to give: 伯父がこの時計を呉れました, """"My uncle gave me this watch."""" Following -て form of another verb, means """"to do the favor of"""": 窓を開けて呉れませんか, """"Won't you open the window [do the favor of opening/kindly open the window]?"""" Usu. written in hiragana.",ゴ,,
recreation,"""recreation",娯,51,2047,10,,1,"recreation, woman, give, mouth, chair, tool, animal legs",Woman . . . give.,A woman gives up her recreation time in order to raise a family.,ゴ,,
mistake,"""mistake",誤,51,2048,14,6,3,"mistake, say, words, keitai, mouth, give, mouth, chair, tool, animal legs, mouth2",Words . . . give.,You must give words of apology when you make a mistake.,ゴ,あやま.る、-あやま.る,"誤る (あやま.る)"""
steam,"""steam",蒸,51,2049,13,6,2,"steam, flowers, helping hand, complete, water, one, floor, oven-fire, barbecue","The flower at the top and the floor with the oven fire beneath are familiar. The problem is what comes in between. It is formed by the character for complete, whose vertical stroke doubles up as the first stroke of water.","Think of a picture of someone steaming vegetables. On top you see the flowers of cauliflower or something else that is being steamed. Underneath, the pan is completely full of water. Below the pan is a floor - that's the hotplate - and under that the oven fire. Caution: don't confuse with boil (#1257), or the steam radical in spirit (#1885).",ジョウ、セイ,む.す、む.れる、む.らす,"蒸す (む.す), 蒸らす (む.らす), 蒸れる (む.れる)"""
acquiesce,"""acquiesce",承,51,2050,8,5,2,"acquiesce, water, complete, three","The sense of passive acceptance or reception of information is contained in this key word. The form is based on the middle portion of the preceding character, with three additional strokes, best thought of as the kanji for three.",To get someone to completely acquiesce it takes 3 dunks in the water before they give.,ショウ、ジョウ,うけたまわ.る、う.ける、ささ.げる、とど.める、たす.ける、こ.らす、つい.で、すく.う,"承る (うけたまわ.る)"""
bin,"""bin",函,51,2051,8,,,"bin, snare, sparkler, shovel","This is the character from which the element for shovel derives. Within it comes the element for snare, with the sparkler surrounding it.",Damn racoons ill show them. I put a snare in the bin as well as a few phosphorous sparklers so as to scare the shit out of the buggers as they rummage through my bin.,カン,,
poles,"""poles",極,51,2052,12,4,2,"poles, decay, tree, wood, snare, mouth, crotch, one, floor",The poles this key word refers to are the extremities of the earth or the terminals of an electric field. The elements are: tree . . . snare . . . mouth . . . crotch . . . floor.,"Can simplify this using decay (#1243). Then: The expedition to the poles is bad for your health, and the decay that started in your mouth spreads to your crotch – at which point you fall to the floor.",キョク、ゴク,きわ.める、きわ.まる、きわ.まり、きわ.み、き.める、-ぎ.め、き.まる,"極限 (きょくげん), 終極 (おわりきょく), 積極的 (せっきょくてき), 極まる (きわ.まる), 極み (きわ.み), 極める (きわ.める)"""
tusk,"""tusk",牙,52,2053,4,,,tusk,"If you play with this primitive's form with pencil and paper, you will see that it begins with a box-like shape, and ends with the final two strokes of the halberd, a convenient combination for the tusk protruding from the mouth of an animal.* Since this kanji has 4 strokes, you would expect that as a primitive it would also have 4 - but in fact it has 5 in the following two frames (the second stroke between divided into 2 strokes) and reverts to 4 again in frame 2056.",The kanji looks like an elephant with tusks. the box is the elephant´s eye. The final stroke is the tusk.,ガ、ゲ,きば、は、きばへん,"牙 (きば)"""
bud,"""bud",芽,52,2054,8,4,1,"bud, flowers, tusk",Flowers . . . tusk.,Buds while they´re still small tend to be tusk-shaped.,ガ,め,"芽 (め)"""
wicked,"""wicked",邪,52,2055,8,,1,"wicked, tusk, city walls",Tusk . . . city walls.,The wicked queen builds her city walls out of menacing tusks.,ジャ,,
gracious,"""gracious",雅,52,2056,13,,1,"gracious, tusk, turkey",Tusk . . . an old turkey.,"Goodness gracious! Such an elegant turkey with a tusk. This mnemonic is meant to join RtK´s keyword with a better proposition. Heisig could have used """"elegant"""" here, which is not confounded so easily with graceful (#721), and accurately represents the character´s meaning (it is also the chosen keyword in Kodansha´s Kanji Learner´s Dictionary).",ガ,,
interpretation,"""interpretation",釈,52,2057,11,,1,"explanation, animal tracks, drop, rice, shaku-hachi, flag, stick",Animal tracks . . . shakuhachi.,"Animal track primitive: As expected, animal tracks were left in place of the trail of rice I´d purposely dropped the night before. EDIT - also try the footprint for a primitive meaning, the classic symbol of detective films. STORY: This shakuhachi player is so talented, he can do interpretations of animal noises too. They´re so realistic he soon has animal tracks leading straight to wherever he´s playing.",シャク、セキ,,
turn,"""turn",番,52,2058,12,2,3,"turn, dice, animal tracks, drop, rice, rice field, brains","This key word has been chosen for its overlay of several meanings similar to those of the kanji: a turn of duty, a round, a number, and so forth. Its composite elements: animal tracks . . . rice field.* As a primitive element, we choose the image of a pair of dice which it is your turn to throw.",The famers take it in turns to watch out for any animal tracks on their rice field.,バン,,
hearing,"""hearing",審,52,2059,15,,1,"hearing, house, dice, animal tracks, drop, rice, rice field, brains",The hearing referred to in this character relates to trials in the courts. The elements: house . . . dice.,"At your divorce hearing the judge tells you to roll dice to see who keeps the house. (""""I can´t believe what I´m hearing!"""" you say).",シン,,
flip,"""flip",翻,52,2060,18,,1,"flip, dice, animal tracks, drop, rice, rice field, brains, feathers, wings",Dice . . . feathers.,"Flipping the bird: After finding out the dice is crooked, you kindly present the middle feather to the dealer.",ホン、ハン,ひるがえ.る、ひるがえ.す,"翻す (ひるがえ.す), 翻る (ひるがえ.る)"""
clan,"""clan",藩,52,2061,18,,1,"clan, flowers, water, water droplets, water pistol, dice, animal tracks, drop, rice, rice field, brains",Flowers . . . water . . . dice.,"This character refers to feudal clans that were abolished in 1871 (Meiji 4) in favor of prefectures (廃藩置県), and thus were predecessors of the modern prefectures. As we know from 落, flowers and water drops each have their own way of falling. This character says that clans´ location was decided in the way flowers, water drops and dice fall: at random. See http://en.wikipedia.org/wiki/Han_%28country_subdivision%29.",ハン,,
fur,"""fur",毛,52,2062,4,2,2,fur,"This character simply reverses the direction of the final stroke of hand to produce fur. If you reverse your hand and put its palm down, you will have the side on which fur grows.","I´ve heard of people having hair on the back of their hands, but this is ridiculous! That´s not hair, that´s fur!",モウ,け,"毛 (け)"""
decrease,"""decrease",耗,52,2063,10,,1,"decrease, christmas tree, fur",Christmas tree . . . fur.,"The amount of """"fur"""" (needles) on a Christmas tree decreases, until it doesn´t look all that good.",モウ、コウ、カウ,,"消耗 (しょうもう)"""
tail,"""tail",尾,52,2064,7,,1,"tail, flag, fur",Flag . . . fur.,A dog waves its furry tail like a flag.,ビ,お,"尾 (お)"""
home,"""home",宅,52,2065,6,6,3,"home, house, lock of hair",House . . . lock of hair.,"This kanji is, of course, pronounced """"taku"""", and it seems the owner of this home is a little bit otaku himself. He has hung up locks of hair suruptitiously obtained from various females all over his house. A veritable hair fetishist, and certainly someone whose home you wouldn´t want to visit.",タク,,
consign,"""consign",託,52,2066,10,,1,"consign, say, words, keitai, mouth, lock of hair",Words . . . lock of hair.,"When you consign a matter to someone, you get their word and a lock of their hair (to be used in a voodoo ritual if they don´t keep their word).",タク,,
do,"""do",為,52,2067,9,,1,"do, so, strange building, tail feathers","This character rightly belongs to the previous lesson, but we held it until now because of the final element, the tail feathers. After the drop at the outset, the next three strokes are completely novel and should be given special attention.","In this kanji, you can see 3 katakana characters: ソ, ユ, and then ユ again followed by TAIL FEATHERS. STORY: """"So (ソ) you (ユ) wanna DO it?"""" """"Only if you (ユ) do"""" says the female bird as she raises her TAIL FEATHERS.",イ,,
falsehood,"""falsehood",偽,52,2068,11,,1,"falsehood, person, do, so, strange building, tail feathers",Person . . . do.,"A person who claims he didn't do something while he actually did, is telling a falsehood.",ギ、カ,いつわ.る、にせ、いつわ.り,"偽る (いつわ.る), 偽 (にせ)"""
long,"""long",長,52,2070,8,2,5,"long, hair, hairpin, safety-pin","In line with the story of the preceding frame, the hair that needs the hairpin is long.* The primitive of this kanji has two more shapes in addition to that of the kanji itself. Above its relative primitive, it is abbreviated form will mean hair. Further abbreviated,","it will mean the long, mangy mane of an animal.The Geisha with long hair uses an ornate lacquered hairpin to bundle it all up.",チョウ,なが.い、おさ,"長い (なが.い)"""
lengthen,"""lengthen",張,52,2071,11,5,1,"lengthen, bow, long",Bow . . . long.,"The longbow is follows the design of a standard bow, only it has been lengthened.",チョウ,は.る、-は.り、-ば.り,"張る (は.る)"""
notebook,"""notebook",帳,52,2072,11,3,1,"notebook, towel, long",Towel . . . long.,In ancient China books were rolled-up scrolls of paper. So notebooks were nothing more than long towels.,チョウ,,
dilate,"""dilate",脹,52,2073,12,,1,"dilate, moon, month, flesh, part of the body, long",Flesh . . . long.,Taking Viagra let´s your blood vessels dilate...resulting in a body part getting long.,チョウ,,
hair,of,髪,52,2074,14,,3,"hair of the head, hairstyle, hair, shape, friend",Hair . . . shape . . . friend.,"Japanese teenage girls consider the style of the hair of the head very important. If a particular style is trendy, soon they all want their own hair in the same shape as that of their friends.",ハツ,かみ,"髪 (かみ)"""
unfold,"""unfold",展,52,2075,10,6,1,"unfold, flag, salad, hairpin, safety-pin",Flag . . . salad . . . hairpin.,"Unfold flag, take out the salad, pin the flag down with hairpins and have a picnic.",テン,,
miss,"""miss",喪,52,2076,12,,1,"miss, soil, dirt, ground, mouth, hairpin, safety-pin, mouth2","Soil . . . two mouths . . . hairpin. Hint: see spit (Frame 162). The key word carries the wide range of meanings readily associated with it: error, loss, absence, and so on.","I miss my parents dearly. Here they lay, under a big cross, their mouths side by side. I stick hairpins in their graves. CAREFUL: the stroke order/primitive order is: ten, L mouth, R mouth, hairpin. """"Soil"""" is not drawn in its stroke order.",ソウ,も,"喪 (も)"""
nest,"""nest",巣,53,2077,11,4,1,"nest, owl, fruit, rice field, brains, tree, wood",Owl . . . fruit.,The nest atop of a tree contains the fruit of the owl: its offspring.,ソウ,す、す.くう,"巣 (す)"""
simple,"""simple",単,53,2078,9,4,3,"simple, owl, rice field, brains, ten, needle","Owl . . . brain . . . needle. The sense is """"not complex.""""",Owls are smart...for this owl everything is simple coz his brain is ten times more powerful than mine.,タン,,
war,"""war",戦,53,2079,13,4,3,"war, simple, owl, rice field, brains, ten, needle, fiesta",Simple . . . fiesta.,"George W. Bush´s plans for war were so SIMPLE. To him, its all just a big FIESTA.",セン,いくさ、たたか.う、おのの.く、そよぐ、わなな.く,"戦 (いくさ), 戦う (たたか.う)"""
Zen,"""Zen",禅,53,2080,13,,1,"zen, altar, simple, owl, rice field, brains, ten, needle",Altar . . . simple.,"Knowing ZEN’s emphasis on “nothingness,” it’s not hard to envision a ZEN ALTAR being quite clean and SIMPLE.",ゼン、セン,,
bullet,"""bullet",弾,53,2081,12,,1,"bullet, bow, simple, owl, rice field, brains, ten, needle",Bow . . . simple.,Hunting with a bow is too complicated. I´m switching to something simpler--using a bullet.,ダン、タン,ひ.く、-ひ.き、はず.む、たま、はじ.く、はじ.ける、ただ.す、はじ.きゆみ,"弾 (たま), 弾む (はず.む), 弾く (ひ.く)"""
cherry,tree,桜,53,2082,10,5,1,"cherry tree, tree, wood, owl, woman",Tree . . . owl . . . woman.,"I was taking a picture of my girlfriend under the cherry tree during 花見, when an owl happened to poop on her at the exact moment the shutter snapped. It´s really my favorite picture , just don´t tell her that.",オウ、ヨウ,さくら,"桜 (さくら)"""
animal,"""animal",獣,53,2083,16,,1,"animal, owl, rice field, brains, one, mouth, chihuahua, dog, large, drop",Owl . . . rice field . . . one . . . mouth . . . chihuahua.,"The owl looks for its prey in the rice field. It sees so many potential animals to eat but since it only has one mouth, it decides that the tasty looking chihuahua will be its meal for tonight. (adapted from Copycatken,1-9-2006).",ジュウ,けもの、けだもの,"獣 (けもの)"""
brain,"""brain",脳,53,2084,11,6,2,"brain, moon, month, flesh, part of the body, owl, villain, sheaf, shovel","Part of the body . . . owl . . . villain. By way of exception, the kanji for brain has no connection with the primitive for brains.",The brain is the part of the body that can give you the wisdom of the owl... or the wickedness of the villain.,ノウ、ドウ,,
trouble,"""trouble",悩,53,2085,10,,2,"trouble, Freud, state of mind, owl, villain, sheaf, shovel",State of mind . . . owl . . . villain.,"When I am in trouble, my state of mind is on two sides: 1. The wise part of me (owl) 2. The villain part of me (villain) Think of the devil and the angel on your shoulders in a troubled situation.",ノウ,なや.む、なや.ます、なや.ましい、なやみ,"悩ます (なや.ます), 悩む (なや.む)"""
stern,"""stern",厳,53,2086,17,6,1,"stern, owl, cliff, daring, spike, ear, taskmaster",Owl . . . cliff . . . daring.,"This represents a stern looking owl, perched up on a cliff. This cliff is quite famous for daring individuals to cliff dive off of, but is any of them daring enough to threaten the owl?",ゲン、ゴン,おごそ.か、きび.しい、いか.めしい、いつくし,"厳格 (げんかく), 厳重 (げんじゅう), 威厳 (いげん), 厳か (おごそ.か), 厳しい (きび.しい)"""
chain,"""chain",鎖,53,2087,18,,1,"chain, metal, gold, small, shellfish, clam, oyster, eye, animal legs, eight",Metal . . . little . . . shells. We have saved this character until no win order to draw attention to the visual difference between the owl and little. By now your eyes should be so accustomed to these apparently infinitesimal differences that the point is obvious.,The chain on this chainsaw is made of little metal shells.,サ,くさり、とざ.す,"鎖 (くさり)"""
raise,"""raise",挙,53,2088,10,4,1,"raise, owl, tool, hand",Owl . . . tool . . . hand.,"The owl was asked to raise his hand if he needed anything, but he had a wing, not a hand! So he made a tool that looked like a hand which he used when he needed to raise his hand. For raiseing, owl has a tool hand.",キョ,あ.げる、あ.がる、こぞ.る,"挙がる (あ.がる), 挙げる (あ.げる)"""
reputation,"""reputation",誉,53,2089,13,,1,"reputation, owl, tool, say, words, keitai, mouth",Owl . . . tool . . . saying.,This owl´s reputation skyrocketed after he created a tool in order to speak human words.,ヨ,ほま.れ、ほ.める,"誉 (ほまれ)"""
game,hunting,猟,53,2090,11,,1,"game hunting, pack of wild dogs, anemometer, owl, wind, cornstalk",Pack of wild dogs . . . owl . . . wind . . . cornstalk.,"[game-hunting; shooting; game; bag] According to unicode.org and wwwjdic, 鼡 and 鼠 (mouse (#2065)) are variants. So, for 鼡 (which I´ll call rat) I have: an owl, flying in the wind, can easily spot a rat even if it´s hiding in the cornstalks. Now 猟 is easy: wild dogs are having fun by game-hunting rats.",リョウ、レフ,,
bird,"""bird",鳥,53,2091,11,2,4,"bird, white, dove, one, tail feathers","Dove . . . one . . . tail feathers. This is, of course, the character from which we derived the primitive meaning of dove. Note the lengthening of the second stroke.",There is only one bird with such beautiful white tail feathers: the albino peakcock.,チョウ,とり,"鳥 (とり)"""
chirp,"""chirp",鳴,53,2092,14,2,3,"chirp, mouth, bird",Mouth . . . bird.,A chirp is quite simply the sound that comes from the mouth of birds.,メイ,な.く、な.る、な.らす,"鳴く (な.く), 鳴らす (な.らす), 鳴る (な.る)"""
crane,"""crane",鶴,53,2093,21,,1,"crane, turkey house, bird","Turkey house . . . bird. The first element appears on only one other occasion, back in frame 609.","Do you know how cranes came to be? Well, they used to keep the poor bird cooped all the time. But the crane really wanted to be free, so it would always streatch its head and neck out of the coop trying to be free.",カク,つる,"鶴 (つる)"""
crow,"""crow",烏,53,2094,10,,,"crow, drop, mouth, one, tail feathers","The only thing that distinguishes this character from that for bird is the omission of the one stroke that makes it white. Which is logical enough, when you consider that there are no crows of that color.","The book´s story is just fine, but I found a kanji dictionary explanation also interesting: As crows are all black, it´s hard to see where their eyes are (black on black), so a stroke is removed from the part in the pictograph where the eyes would be.",ウ、オ,,
vine,"""vine",蔦,53,2095,14,,1,"vine, flowers, bird",Flower . . . bird.,In the jungle there is a flowery vine called hedera rhombea that attracts humming birds by the dozens. They scoot around the flowers sucking up nectar off the vine.,チョウ,,
pigeon,"""pigeon",鳩,53,2096,13,,1,"pigeon, nine, baseball, bird",Baseball . . . bird.,Feed one pigeon and nine more birds will be swarming you immediately…　RTK2:　On list of rare or no official Chinese reading.,キュウ、ク,,
chicken,"""chicken",鶏,53,2097,19,,1,"chicken, claw, vulture, husband, bird",Vulture . . . husband . . . bird.,"There are two types of birds often compared to husbands. Yes there are a few vultures out there, but most husbands are CHICKENS. 鶏 【にわとり】 (n) (domestic) chicken, (P) 鶏肉 【けいにく】 (n) chicken meat, (P).",ケイ,にわとり、とり,"鶏 (にわとり)"""
island,"""island",島,53,2098,10,3,2,"island, bird, mountain","The bird's tail is tucked under here, because it has come to stop on a mountain to rest from its journey across the waters. Thus the kanji comes to mean an island.",This island is the home of the terrible mythical bird Roc. It sits mighty atop the mountain waiting for the next hapless ship to pass by.,トウ,しま,"島 (しま)"""
warmth,"""warmth",暖,53,2099,13,6,1,"warmth, sun, day, migrating ducks, claw, vulture, one, friend","Unlike the character for warm weather learned earlier (Frame 1560), this kanji and its key word can also refer to the warmth of human congeniality. Its elements are: sun . . . migrating ducks.",Note: Just confirming Heisig has confused these two characters. This is used primarily for weather and climate (and colours).,ダン、ノン,あたた.か、あたた.かい、あたた.まる、あたた.める,"暖か (あたた.か), 暖かい (あたた.かい), 暖まる (あたた.まる), 暖める (あたた.める)"""
beautiful,woman,媛,53,2100,12,,1,"beautiful woman, woman, migrating ducks, claw, vulture, one, friend",Woman . . . migrating ducks.,"You want to know about a beautiful woman? There´s a woman that´s so beautiful, the birds migrate to her instead of the sun!",エン,ひめ,"媛 (ひめ)"""
abet,"""abet",援,53,2101,12,,1,"abet, finger, fingers, migrating ducks, claw, vulture, one, friend",Fingers . . . migrating ducks.,You abet the escape of migrating ducks by pointing them the way.,エン,,
slacken,"""slacken",緩,53,2102,15,,1,"slacken, thread, spiderman, migrating ducks, claw, vulture, one, friend",Thread . . . migrating ducks.,"[slacken; loosen; relax; lessen; be moderate; ease] The thread in this story is a cable line, something like a power or phone line. The thread was tense with all the migrating ducks perched on it, but got back to being slackened when the entire flock flew away. (darg_sama-modified,2-11-2005).",カン,ゆる.い、ゆる.やか、ゆる.む、ゆる.める,"緩い (ゆる.い), 緩む (ゆる.む), 緩める (ゆる.める), 緩やか (ゆる.やか)"""
belong,"""belong",属,53,2103,12,5,1,"belong, flag, gnats, drop, insect, belt",Flag . . . gnats (see frame 563) . . . with a belt.,"These bugs BELONG TO an extremist group promoting insect independence. They are parading the FLAG of their group, the Nationalist GNATS, and wearing explosives BELTS for their planned terrorist war.",ゾク、ショク,,
entrust,"""entrust",嘱,53,2104,15,,1,"entrust, mouth, belong, flag, gnats, drop, insect, belt",Mouth . . . belong.,Entrust is to confer trust in someone else. My mouth belongs to you and your secret is safely entrusted with me.,ショク,,
accidentally,"""accidentally",偶,53,2105,11,,3,"accidentally, person, talking cricket, brains, insect, belt","The person on the left is familiar. As for the right side, we may combine the insect with a brain (observe the writing) and a belt to create the Talking Cricket who served as Pinocchio's conscience. (The belt is there because he pulls it off to give unrepentant little Pinocchio a bit of """"strap"""" now and again.)","Mr. T accidentially stepped on Jiminy Cricket (a brainy insect, with a belt sort of sash to hold his """"conscience"""" badge).",グウ,,
interview,"""interview",遇,53,2106,12,,1,"interview, talking cricket, brains, insect, belt, road",Talking Cricket . . . road.,On the road to my interview I accidentally bump into Jiminy Cricket who gives me some good advice.,グウ,,
foolish,"""foolish",愚,53,2107,13,,1,"foolish, talking cricket, brains, insect, belt, heart",Talking Cricket . . . heart.,"Don´t be foolish! says Jiminy Cricket as he lashes you with his belt. Follow logic, like me, not your heart.",グ,おろ.か,"愚か (おろ.か)"""
corner,"""corner",隅,53,2108,12,,2,"corner, pinnacle, parthenon, acropolis, talking cricket, brains, insect, belt",Pinnacle . . . Talking Cricket.,"If you behave badly at THE PINNACLE, JIMINY CRICKET will send you to sit in the corner.",グウ,すみ,"隅 (すみ)"""
inverted,"""inverted",逆,53,2109,9,5,2,"inverted, mountain goat, horns, mountain, road",Mountain goat . . . road.,There´s a road that´s been inverted- it´s gone from horizontal to directly vertical! The only beast that could possibly climb it is a mountain goat of course.,ギャク、ゲキ,さか、さか.さ、さか.らう,"逆 (さか), 逆らう (さか.らう)"""
model,"""model",塑,53,2110,13,,1,"model, first day of the month, mountain goat, horns, mountain, moon, month, flesh, part of the body, soil, dirt, ground",This kanji depicts the art of modeling clay or wood into a figure of your choice. The elements for composing it are: mountain goat . . . moon . . . soil.,This guy is such a gifted sculptor. He can model a MOUNTAIN GOAT and a MOON with just SOIL mold.,ソ,,
Mount,"""Mount",岡,53,2112,8,,,"mount, glass canopy, hood, mountain goat, horns, mountain","Here we see amountain goat """"mounted"""" under a glass canopy. In this and the following frames, think of a particular Mount you know.","White mount , Fuji mount , olympus mount whatever ....The choice is yours but wherever you go they sell those snowglobe souvenir : under a GLASS HOOD you can see the mount with a MOUTAIN GOAT standing on top of it .... So kitsch you just can´t forget it .",コウ,おか,"岡 (おか)"""
steel,"""steel",鋼,53,2113,16,6,1,"steel, metal, gold, mount",Metal . . . Mount.,Mount Fuji is completely made up of a metal known as steel.,コウ,はがね,"鋼 (はがね)"""
hawser,"""hawser",綱,53,2114,14,,1,"hawser, thread, spiderman, mount",Thread . . . Mount.,A sturdy thread is equally obviously hawser (heavy rope). (see previous frame).,コウ,つな,"綱 (つな)"""
sturdy,"""sturdy",剛,53,2115,10,,1,"sturdy, mount, sword, sabre, saber",Mount . . . saber.,"Mount everest is very sturdy, you can hit it all day with a saber and it wont even wobble.",ゴウ,,
tin,can,缶,53,2116,6,,2,"tin can, noon, sign of the horse, shovel","Though the meaning has no reference to animals, the parts do: horse with a mountain underneath.","Horses kept in the mountains have a unique savory taste. At least so the text on this tin can would have us believe, which contains 100% authentic mountain horse.",カン,,
pottery,"""pottery",陶,53,2117,11,,1,"pottery, pinnacle, parthenon, acropolis, bound up, tin can, noon, sign of the horse, shovel",Pinnacle . . . bound up . . . tin can.,"Pottery is used for food preservation, the pinnacle of which today is food bound up in tin cans.",トウ,,
swing,"""swing",揺,53,2118,12,,1,"swing, finger, fingers, condor, claw, vulture, king, mountain",Fingers . . . condor.,"Primitive: A condor is like a vulture but twice the size and lives in mountainous regions (+1 Elphalpo). Story: I swing my fingers back and forth, trying to fend off the attacking condor.",ヨウ,ゆ.れる、ゆ.る、ゆ.らぐ、ゆ.るぐ、ゆ.する、ゆ.さぶる、ゆ.すぶる、うご.く,"揺さぶる (ゆ.さぶる), 揺すぶる (ゆ.すぶる), 揺する (ゆ.する), 揺らぐ (ゆ.らぐ), 揺る (ゆ.る), 揺るぐ (ゆ.るぐ), 揺れる (ゆ.れる)"""
Noh,chanting,謡,53,2119,16,,1,"noh chanting, say, words, keitai, mouth, condor, claw, vulture, king, mountain",Words . . . condor.,"Noh chanting?!? I meant """"NO CHANTING!"""" Now all you, just shut up! Not another word! Don´t you know that chanting can provoke attacks from the local condor? So, no chanting, and especially no Noh chanting.",ヨウ,うた.い、うた.う,"謡う (うた.う), 謡 (うたい)"""
